=== register: 100301|44f0 ===
[2604] 0100|00|00|05|fa0001||100301|44f0||...D.||259,61508

=== register: 100301|54e0 ===
[1018] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1038] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1070] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1072] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1092] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1108] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1112] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1134] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1151] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1153] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1173] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1190] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1192] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1233] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1289] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1295] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1324] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1341] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1343] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1364] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1395] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1399] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1423] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1439] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1443] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1466] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1483] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1485] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1506] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1522] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1524] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1545] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1564] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1568] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1591] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1608] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1610] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1625] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1642] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1644] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1685] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1700] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1704] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1727] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1744] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
